Telegram_ID,Offset,Variable_Name,Min,Max,Resolution,Unit,Comment
0x099A,2,HP activity,0,4,1,enum,"0=off, 1=heating, 2=DHW, 3=defrost,4=alarm"
0x099A,5-7,HP operation time heating,0,16777215,1,h,3 byte unsigned int
0x099A,8-10,HP operation time dhw,0,16777215,1,h,3 byte unsigned int
0x099A,11-13,HP starts heating,0,16777215,1,,3 byte unsigned int
0x099A,14-16,HP starts dhw,0,16777215,1,,3 byte unsigned int
0x099A,17,Smart grid mode,0,3,1,enum,"0=Mode1 (I1 closed, I4 open = Heat pump blocked by energy supplier); 1=Mode2 (I1 open, I4 open = Normal operation); 2=Mode3 (I1 open, I4 closed = Heatpump prefered); 3=Mode4 (I1 closed, I4 closed = Forced operation of heatpump)"

